feature,feature_family,source_column,transformation,temporal_status,leakage_status,included,reason
tag__Anime,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Arcade,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Atmospheric,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Building,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Bullet Hell,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Cartoon,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Cartoony,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Casual,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Character Customization,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Choices Matter,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Choose Your Own Adventure,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Co-op,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Colorful,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Combat,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Comedy,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Controller,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Cute,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Dark,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Difficult,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Early Access,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Education,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Exploration,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__FPS,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Family Friendly,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Fantasy,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Female Protagonist,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__First-Person,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Free to Play,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Funny,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Futuristic,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Gore,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Great Soundtrack,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Hand-drawn,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Hidden Object,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Horror,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Indie,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Interactive Fiction,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__JRPG,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Linear,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Local Multiplayer,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Logic,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Magic,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Management,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Medieval,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Minimalist,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Multiplayer,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Multiple Endings,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Mystery,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Nudity,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Old School,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Open World,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Physics,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Pixel Graphics,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Platformer,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Point & Click,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Procedural Generation,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Psychological Horror,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Puzzle,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Puzzle-Platformer,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__PvE,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__PvP,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__RPG,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Racing,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Realistic,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Relaxing,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Retro,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Rogue-like,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Rogue-lite,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Sandbox,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Sci-fi,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Score Attack,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Sexual Content,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Shoot 'Em Up,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Shooter,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Side Scroller,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Simulation,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Singleplayer,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Space,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Sports,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Story Rich,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Strategy,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Stylized,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Survival,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
tag__Survival Horror,store_metadata_ambiguous,achievements/supported_languages/tags,"train-median imputation (achievements) or count; multi-hot (tags, train-vocab >= 800 count)","B: current-snapshot, temporally ambiguous","checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
